# Title: January - December 2020 Contiguous U.S. Statewide Heating Degree Days
# Units: Fahrenheit Degree-Days
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
1,Alabama,2284,-540,9,2824
2,Arizona,1834,-398,15,2232
3,Arkansas,3190,-368,19,3558
4,California,2570,-709,6,3279
5,Colorado,6814,-711,11,7525
6,Connecticut,5344,-1042,5,6386
7,Delaware,3999,-976,5,4975
8,Florida,493,-279,5,772
9,Georgia,2403,-624,6,3027
10,Idaho,6661,-581,15,7242
11,Illinois,5774,-692,16,6466
12,Indiana,5279,-692,15,5971
13,Iowa,6583,-517,24,7100
14,Kansas,4657,-497,21,5154
15,Kentucky,4078,-591,12,4669
16,Louisiana,1336,-450,9,1786
17,Maine,7184,-1137,9,8321
18,Maryland,4021,-956,6,4977
19,Massachusetts,5535,-1133,5,6668
20,Michigan,6276,-961,10,7237
21,Minnesota,8310,-768,19,9078
22,Mississippi,1983,-539,8,2522
23,Missouri,4765,-473,21,5238
24,Montana,8300,-727,19,9027
25,Nebraska,6049,-588,26,6637
26,Nevada,3274,-508,11,3782
27,New Hampshire,6906,-1089,8,7995
28,New Jersey,4615,-1125,5,5740
29,New Mexico,4166,-726,5,4892
30,New York,5476,-1056,6,6532
31,North Carolina,2904,-717,5,3621
32,North Dakota,8860,-771,19,9631
33,Ohio,5250,-845,10,6095
34,Oklahoma,3264,-469,13,3733
35,Oregon,5042,-606,13,5648
36,Pennsylvania,5186,-960,6,6146
37,Rhode Island,5184,-1162,3,6346
38,South Carolina,2164,-649,4,2813
39,South Dakota,7376,-619,21,7995
40,Tennessee,3432,-541,11,3973
41,Texas,1549,-496,9,2045
42,Utah,6693,-727,11,7420
43,Vermont,7481,-1143,8,8624
44,Virginia,3763,-838,5,4601
45,Washington,5416,-544,18,5960
46,West Virginia,4665,-719,8,5384
47,Wisconsin,7186,-791,16,7977
48,Wyoming,8069,-657,19,8726
